Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
64787,2002-11-12,West Indies tour of India  - 2002 (2002/03),West Indies,300.0,5.0,India,Madhavrao Scindia Cricket Ground,Rajkot,India,,,
64788,2002-11-15,West Indies tour of India  - 2002 (2002/03),West Indies,324.0,4.0,India,Sardar Patel Stadium,Ahmedabad,India,,,
64789,2002-11-18,West Indies tour of India  - 2002 (2002/03),India,290.0,8.0,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India,,,
64790,2002-11-21,West Indies tour of India  - 2002 (2002/03),West Indies,201.0,10.0,India,Barkatullah Khan Stadium,Jodhpur,India,,,
64791,2002-11-23,Pakistan tour of Zimbabwe  - 2002 (2002/03),Pakistan,302.0,4.0,Pakistan,Queens Sports Club,Bulawayo,Zimbabwe,,,
64792,2002-11-24,West Indies tour of India  - 2002 (2002/03),West Indies,315.0,6.0,West Indies,Indira Gandhi Stadium,Vijayawada,India,,,
64793,2002-11-24,Pakistan tour of Zimbabwe  - 2002 (2002/03),Pakistan,344.0,5.0,Pakistan,Queens Sports Club,Bulawayo,Zimbabwe,,,
64794,2002-11-27,Pakistan tour of Zimbabwe  - 2002 (2002/03),Pakistan,323.0,3.0,Pakistan,Harare Sports Club,Harare,Zimbabwe,,,
64795,2002-11-27,Sri Lanka tour of South Africa  - 2002 (2002/03),Sri Lanka,128.0,10.0,South Africa,New Wanderers Stadium,Johannesburg,South Africa,,,
64796,2002-11-29,West Indies tour of Bangladesh  - 2002 (2002/03),West Indies,275.0,7.0,,MA Aziz Stadium,Chattogram,Bangladesh,,,
64797,2002-11-29,Sri Lanka tour of South Africa  - 2002 (2002/03),South Africa,317.0,6.0,South Africa,SuperSport Park,Centurion,South Africa,,,
